,179BR2A00001,179BR2A00003,179BR2A00007,179BR2A00011,179BR2B00001,179BR2B00003,179BR2B00007,179BR2B00011,179BR2C00001,179BR2C00003,179BR2C00007,179BR2C00011,179BR2D00001,179BR2D00003,179BR2D00007,179BR2D00011,179BR2E00001,179BR2E00003,179BR2E00007,179BR2E00011,179BR2F00001,179BR2F00003,179BR2F00007,179BR2F00011,179BR3A00001,179BR3A00003,179BR3A00007,179BR3A00011,179BR3B00001,179BR3B00003,179BR3B00007,179BR3B00011,179BR3C00001,179BR3C00003,179BR3C00007,179BR3C00011,179BR3D00001,179BR3D00003,179BR3D00007,179BR3D00011,179BR3E00001,179BR3E00003,179BR3E00007,179BR3E00011,179BR3F00001,179BR3F00003,179BR3F00007,179BR3F00011
179BR2D00011,0.7901639344262295,0.49122807017543857,0.4824561403508772,0.48672566371681414,0.7112299465240641,0.5544554455445545,0.4845360824742268,0.4479166666666667,0.6951219512195121,0.5333333333333333,0.494949494949495,0.48,0.752,0.25555555555555554,0.10465116279069768,0.0,0.7970149253731343,0.536,0.5163934426229508,0.46153846153846156,0.8535469107551488,0.5583333333333333,0.5454545454545454,0.5371900826446281,0.702020202020202,0.5229357798165137,0.4957983193277311,0.46218487394957986,0.7172131147540983,0.5307692307692308,0.515625,0.4918032786885246,0.7419354838709677,0.6486486486486487,0.5700934579439252,0.616822429906542,0.7158469945355191,0.6194690265486725,0.5304347826086957,0.5135135135135135,0.7409638554216867,0.6048387096774194,0.6101694915254238,0.6120689655172413,0.7913385826771654,0.6906474820143885,0.664179104477612,0.6590909090909091
179BR2E00001,0.605080831408776,0.7958579881656804,0.8070175438596491,0.8231884057971014,0.6850828729281768,0.8419452887537994,0.8389057750759878,0.8433734939759037,0.7171428571428572,0.8388059701492537,0.8537313432835821,0.8516320474777448,0.6010230179028133,0.8085106382978723,0.8012048192771084,0.7970149253731343,0.0,0.7371601208459214,0.7728613569321534,0.7936046511627907,0.570873786407767,0.8104956268221575,0.8121387283236994,0.8160919540229885,0.6774193548387096,0.8,0.7787610619469026,0.791907514450867,0.6126582278481013,0.7616279069767442,0.7752161383285303,0.7819767441860465,0.7425742574257426,0.8709677419354839,0.855457227138643,0.8735294117647059,0.7365591397849462,0.822289156626506,0.8047337278106509,0.8130563798219584,0.7350427350427351,0.813953488372093,0.8367346938775511,0.8454810495626822,0.7306791569086651,0.8253521126760563,0.8305084745762712,0.84593837535014
179BR2E00003,0.8,0.6044776119402985,0.6176470588235294,0.6119402985074627,0.7389162561576355,0.5752212389380531,0.5789473684210527,0.5862068965517241,0.6914285714285714,0.5555555555555556,0.5486725663716814,0.5478260869565217,0.7613636363636364,0.5546218487394958,0.5166666666666667,0.536,0.7371601208459214,0.0,0.25,0.375,0.8456375838926175,0.6277372262773723,0.6258992805755396,0.6086956521739131,0.7230046948356808,0.5333333333333333,0.562962962962963,0.5755395683453237,0.7480916030534351,0.5694444444444444,0.5958904109589042,0.6083916083916084,0.7586206896551724,0.68,0.6341463414634146,0.6528925619834711,0.717948717948718,0.5867768595041323,0.5511811023622047,0.5483870967741935,0.72,0.6474820143884892,0.6230769230769231,0.6356589147286822,0.7803030303030303,0.668918918918919,0.6620689655172414,0.6573426573426573
179BR2E00007,0.8099688473520249,0.5877862595419847,0.6015037593984962,0.5954198473282443,0.7425742574257426,0.5803571428571429,0.5714285714285714,0.591304347826087,0.7247191011235955,0.6083333333333333,0.591304347826087,0.5775862068965517,0.7827715355805244,0.5470085470085471,0.49572649572649574,0.5163934426229508,0.7728613569321534,0.25,0.0,0.22935779816513763,0.8577777777777778,0.6222222222222222,0.6304347826086957,0.6029411764705882,0.7264150943396226,0.5378151260504201,0.5230769230769231,0.5481481481481482,0.7509578544061303,0.5633802816901409,0.5602836879432624,0.572463768115942,0.7345132743362832,0.6639344262295082,0.628099173553719,0.635593220338983,0.7083333333333334,0.6147540983606558,0.5555555555555556,0.5645161290322581,0.7386363636363636,0.5909090909090909,0.5725806451612904,0.5853658536585366,0.7969924812030075,0.6824324324324325,0.647887323943662,0.6428571428571429
179BR2E00011,0.8130841121495327,0.5736434108527132,0.5658914728682171,0.5590551181102362,0.7222222222222222,0.5636363636363636,0.5,0.5092592592592593,0.7159090909090909,0.5689655172413793,0.5495495495495496,0.5357142857142857,0.7773584905660378,0.5304347826086957,0.4649122807017544,0.46153846153846156,0.7936046511627907,0.375,0.22935779816513763,0.0,0.8700440528634361,0.6397058823529411,0.6074074074074074,0.6,0.7311320754716981,0.5213675213675214,0.5078125,0.4765625,0.75,0.55,0.5255474452554745,0.5263157894736842,0.7389380530973452,0.6386554621848739,0.6016949152542372,0.6086956521739131,0.7,0.6,0.49166666666666664,0.5,0.7371428571428571,0.5769230769230769,0.5691056910569106,0.5819672131147541,0.8097014925373134,0.6712328767123288,0.6357142857142857,0.6204379562043796
179BR2F00001,0.593186372745491,0.8283062645011601,0.8367816091954023,0.8519362186788155,0.7864693446088795,0.888631090487239,0.8888888888888888,0.8842592592592593,0.8056768558951966,0.8778801843317973,0.8919540229885058,0.8850574712643678,0.675564681724846,0.8631090487238979,0.8545034642032333,0.8535469107551488,0.570873786407767,0.8456375838926175,0.8577777777777778,0.8700440528634361,0.0,0.7894736842105263,0.7966903073286052,0.8084112149532711,0.7473460721868365,0.8564814814814815,0.8468468468468469,0.8430493273542601,0.7028112449799196,0.8198198198198198,0.8325892857142857,0.8382022471910112,0.788,0.8947368421052632,0.8878718535469108,0.9018264840182648,0.7966101694915254,0.8706697459584296,0.8538812785388128,0.863013698630137,0.7765237020316027,0.8552036199095022,0.8755656108597285,0.8823529411764706,0.6885245901639344,0.8321995464852607,0.8442437923250564,0.8539325842696629
179BR2F00003,0.7817589576547231,0.5491803278688525,0.5528455284552846,0.5806451612903226,0.7638190954773869,0.6272727272727273,0.6548672566371682,0.6491228070175439,0.7267441860465116,0.6410256410256411,0.6608695652173913,0.646551724137931,0.7900763358778626,0.5663716814159292,0.5641025641025641,0.5583333333333333,0.8104956268221575,0.6277372262773723,0.6222222222222222,0.6397058823529411,0.7894736842105263,0.0,0.24271844660194175,0.26666666666666666,0.7219512195121951,0.5689655172413793,0.5846153846153846,0.5757575757575758,0.7578125,0.6,0.6170212765957447,0.5895522388059702,0.730593607305936,0.6637931034482759,0.6495726495726496,0.6695652173913044,0.743455497382199,0.6120689655172413,0.5967741935483871,0.5833333333333334,0.7337278106508875,0.6716417910447762,0.648,0.6612903225806451,0.766798418972332,0.6044776119402985,0.6060606060606061,0.6106870229007634
179BR2F00007,0.7679738562091504,0.512396694214876,0.5403225806451613,0.5206611570247934,0.7487437185929648,0.625,0.6160714285714286,0.6106194690265486,0.7017543859649122,0.6153846153846154,0.646551724137931,0.6324786324786325,0.7924528301886793,0.6016949152542372,0.575,0.5454545454545454,0.8121387283236994,0.6258992805755396,0.6304347826086957,0.6074074074074074,0.7966903073286052,0.24271844660194175,0.0,0.15,0.7135922330097088,0.5798319327731093,0.5939849624060151,0.553030303030303,0.74609375,0.5985915492957746,0.6056338028169014,0.5777777777777777,0.7342342342342343,0.6833333333333333,0.6583333333333333,0.6890756302521008,0.7277486910994765,0.6218487394957983,0.584,0.5702479338842975,0.7005988023952096,0.6287878787878788,0.624,0.6370967741935484,0.7598425196850394,0.6131386861313869,0.5939849624060151,0.5984848484848485
179BR2F00011,0.7806451612903226,0.5403225806451613,0.544,0.5,0.75,0.6521739130434783,0.6434782608695652,0.6260869565217392,0.7183908045977011,0.6302521008403361,0.6260869565217392,0.6,0.797752808988764,0.6050420168067226,0.5546218487394958,0.5371900826446281,0.8160919540229885,0.6086956521739131,0.6029411764705882,0.6,0.8084112149532711,0.26666666666666666,0.15,0.0,0.7211538461538461,0.5950413223140496,0.5648854961832062,0.5230769230769231,0.751937984496124,0.5915492957746479,0.5886524822695035,0.5597014925373134,0.7466666666666667,0.6859504132231405,0.65,0.6581196581196581,0.7357512953367875,0.6475409836065574,0.5984251968503937,0.5967741935483871,0.7251461988304093,0.6212121212121212,0.6048387096774194,0.6178861788617886,0.765625,0.6258992805755396,0.5864661654135338,0.5909090909090909
179BR3A00001,0.6246246246246246,0.695,0.7093596059113301,0.7192118226600985,0.5714285714285714,0.7158469945355191,0.717391304347826,0.7204301075268817,0.5972222222222222,0.7210526315789474,0.7473684210526316,0.7382198952879581,0.6027874564459931,0.7052631578947368,0.7076923076923077,0.702020202020202,0.6774193548387096,0.7230046948356808,0.7264150943396226,0.7311320754716981,0.7473460721868365,0.7219512195121951,0.7135922330097088,0.7211538461538461,0.0,0.6111111111111112,0.5968586387434555,0.6122448979591837,0.5434782608695652,0.592964824120603,0.6119402985074627,0.6142131979695431,0.552,0.7680412371134021,0.7461139896373057,0.7846153846153846,0.5974025974025974,0.7371134020618557,0.7035175879396985,0.7106598984771574,0.6203703703703703,0.6767676767676768,0.7091836734693877,0.7309644670050761,0.6438356164383562,0.6971153846153846,0.7115384615384616,0.7393364928909952
