feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB51139	week	day12	-0.0833333333333665	0.0589255653162898	48	1	0.166665132012154	0.243221485114841
GGB51139	week	day4	-0.0833333333333665	0.0589255653162898	48	1	0.166665132012371	0.243221485114841
GGB51139	week	day8	-0.0833333333333665	0.0589255653162898	48	1	0.16666513201288	0.243221485114841
GGB51884	week	day12	-0.0833333333333333	0.0589255653148709	48	1	0.166665131994087	0.243221485114841
GGB51884	week	day4	-0.0833333333333333	0.0589255653148709	48	1	0.166665131994094	0.243221485114841
GGB51884	week	day8	-0.0833333333333333	0.0589255653148709	48	1	0.166665131994795	0.243221485114841
GGB52130	group	R	2.06710737624398	1.32942601414156	48	31	0.151025534977443	0.243221485114841
GGB52283	week	day12	-0.0833333333333333	0.058925565316664	48	1	0.16666513201399	0.243221485114841
GGB52283	week	day4	-0.0833333333333333	0.058925565316664	48	1	0.166665132014605	0.243221485114841
GGB52283	week	day8	-0.0833333333333333	0.058925565316664	48	1	0.16666513201368	0.243221485114841
GGB52930	week	day12	-0.507128462760349	0.300104665323089	48	2	0.100486114538265	0.243221485114841
GGB52930	week	day4	-0.507128462760349	0.300104665323089	48	2	0.100486114527178	0.243221485114841
GGB52930	week	day8	-0.507128462760349	0.300104665323089	48	2	0.100486114529727	0.243221485114841
GGB58067	week	day12	-0.0833333333333429	0.0589255653156399	48	1	0.1666651320065	0.243221485114841
GGB58067	week	day4	-0.0833333333333428	0.0589255653156399	48	1	0.166665132010038	0.243221485114841
GGB58067	week	day8	-0.0833333333333428	0.0589255653156399	48	1	0.166665132007451	0.243221485114841
GGB58071	week	day4	0.615502356276946	0.399300907189157	48	4	0.132743089770535	0.243221485114841
GGB58071	week	day8	0.579068038281382	0.399300907189157	48	4	0.156440354612726	0.243221485114841
GGB5979	week	day12	-0.0833333333333191	0.0589255653143164	48	1	0.16666513196779	0.243221485114841
GGB5979	week	day4	-0.0833333333333192	0.0589255653143164	48	1	0.166665131965144	0.243221485114841
GGB5979	week	day8	-0.0833333333333191	0.0589255653143164	48	1	0.16666513197178	0.243221485114841
GGB5980	week	day12	-0.542038018270811	0.324348858430309	48	2	0.10414904097213	0.243221485114841
GGB5980	week	day4	-0.542038018270811	0.324348858430309	48	2	0.104149040974193	0.243221485114841
GGB5980	week	day8	-0.542038018270811	0.324348858430309	48	2	0.104149040968001	0.243221485114841
GGB5997	week	day12	-0.0833333333333333	0.058925565313531	48	1	0.166665131952352	0.243221485114841
GGB5997	week	day4	-0.0833333333333333	0.058925565313531	48	1	0.166665131945081	0.243221485114841
GGB5997	week	day8	-0.0833333333333333	0.058925565313531	48	1	0.166665131947438	0.243221485114841
GGB5998	group	R	-0.0625000000000045	0.0436772651201067	48	1	0.159672223158964	0.243221485114841
GGB5998	week	day12	-0.0833333333333287	0.0582363534934756	48	1	0.159672223159037	0.243221485114841
GGB5998	week	day4	-0.0833333333333287	0.0582363534934756	48	1	0.159672223159037	0.243221485114841
GGB5998	week	day8	-0.0833333333333287	0.0582363534934756	48	1	0.159672223159037	0.243221485114841
GGB6002	week	day12	-0.083333333333325	0.0589255653158804	48	1	0.166665132026475	0.243221485114841
GGB6002	week	day4	-0.083333333333325	0.0589255653158804	48	1	0.166665132026773	0.243221485114841
GGB6002	week	day8	-0.0833333333333262	0.0589255653158804	48	1	0.166665132021779	0.243221485114841
GGB6012	week	day12	-0.0833333333333428	0.0589255653144109	48	1	0.166665131974442	0.243221485114841
GGB6012	week	day4	-0.0833333333333428	0.0589255653144109	48	1	0.166665131975135	0.243221485114841
GGB6012	week	day8	-0.0833333333333428	0.0589255653144109	48	1	0.166665131974905	0.243221485114841
GGB6020	week	day12	-0.0833333333333665	0.0589255653132232	48	1	0.166665131972842	0.243221485114841
GGB6020	week	day4	-0.0833333333333665	0.0589255653132232	48	1	0.166665131974068	0.243221485114841
GGB6020	week	day8	-0.0833333333333665	0.0589255653132232	48	1	0.166665131976193	0.243221485114841
GGB6123	week	day12	-0.472022629649797	0.275802993023132	48	2	0.096383540969957	0.243221485114841
GGB6123	week	day4	-0.472022629649797	0.275802993023132	48	2	0.0963835409705781	0.243221485114841
GGB6123	week	day8	-0.472022629649797	0.275802993023132	48	2	0.0963835409693353	0.243221485114841
GGB6126	week	day12	-0.0833333333333332	0.0589255653152186	48	1	0.16666513197699	0.243221485114841
GGB6126	week	day4	-0.0833333333333332	0.0589255653152186	48	1	0.166665131976079	0.243221485114841
GGB6126	week	day8	-0.0833333333333332	0.0589255653152187	48	1	0.166665131973179	0.243221485114841
GGB6133	week	day12	-0.083333333333338	0.058925565314972	48	1	0.166665132004103	0.243221485114841
GGB6133	week	day4	-0.083333333333338	0.058925565314972	48	1	0.166665132005043	0.243221485114841
GGB6133	week	day8	-0.083333333333338	0.0589255653149721	48	1	0.166665132002624	0.243221485114841
GGB6522	week	day12	-0.0833333333333381	0.0589255653159184	48	1	0.166665132037277	0.243221485114841
GGB6522	week	day4	-0.0833333333333381	0.0589255653159184	48	1	0.166665132039461	0.243221485114841
GGB6522	week	day8	-0.0833333333333381	0.0589255653159184	48	1	0.166665132032885	0.243221485114841
GGB6544	week	day12	-0.0833333333333594	0.0589255653145753	48	1	0.166665131964694	0.243221485114841
GGB6544	week	day4	-0.0833333333333594	0.0589255653145753	48	1	0.166665131965257	0.243221485114841
